cell,x,density,momentum,energy,velocity,pressure,alpha,courant,reference_density,reference_momentum,reference_energy
57,0.575,0.41841120333318244,0.3770272545618887,0.9562131105951645,0.901092637000115,0.31453794763124865,1.936803063818373,0.03141608148777965,0.42631942817849516,0.39539107064191553,0.941178687332019
58,0.585,0.41230289420790334,0.37457224772370584,0.9485921771056317,0.9084880387350086,0.311377989502438,1.9461770614780178,0.03156813322697974,0.42631942817849516,0.39539107064191553,0.941178687332019
59,0.595,0.4062464561217931,0.37142423187224743,0.9421341421200162,0.9142830079504597,0.308936284059637,1.9554816973540987,0.03171905987737484,0.42631942817849516,0.39539107064191553,0.941178687332019
60,0.605,0.40004510761439765,0.36751877948363665,0.9365810512107209,0.9186933485458019,0.30710500884883074,1.9650524037886945,0.03187430234825988,0.42631942817849516,0.39539107064191553,0.941178687332019
61,0.615,0.3935171794250103,0.36280292961103533,0.9316819823115737,0.9219494054647036,0.3057756038734802,1.9752024467645009,0.03203894199758166,0.42631942817849516,0.39539107064191553,0.941178687332019
62,0.625,0.38651493800053993,0.3572477633552589,0.9272096271700307,0.9242793181637907,0.30484450704210475,1.9861951494941474,0.03221725008226873,0.42631942817849516,0.39539107064191553,0.941178687332019
63,0.635,0.3789419583596482,0.3508603516318741,0.9229748596143498,0.9258947020558693,0.3042179956982576,1.99821884067547,0.03241228140424094,0.42631942817849516,0.39539107064191553,0.941178687332019
64,0.645,0.37076612000178194,0.34369294865814537,0.9188371558955633,0.9269804605029541,0.3038155327944762,2.011366979419326,0.0326255519250833,0.42631942817849516,0.39539107064191553,0.941178687332019
65,0.655,0.362025767502573,0.3358474588066725,0.914709451148564,0.9276893772603785,0.30357135647645705,2.0256253839828484,0.03285683160860994,0.42631942817849516,0.39539107064191553,0.941178687332019
66,0.665,0.35282765086843454,0.3274738590971795,0.9105569984101067,0.9281411428246898,0.30343440699850915,2.0408679994946035,0.033104075770884304,0.42631942817849516,0.39539107064191553,0.941178687332019
67,0.675,0.34333670293757856,0.3187623027751462,0.9063908009912852,0.9284247796633028,0.3033669562527177,2.0568621837493577,0.03336351081890994,0.42631942817849516,0.39539107064191553,0.941178687332019
68,0.685,0.3337591604393231,0.30992980475208126,0.9022569894017614,0.9286031410916916,0.3033424377185611,2.073283927683395,0.033629881135665875,0.3538315332820011,0.32816198259832924,0.9100027904072563
69,0.695,0.3243216256502999,0.3012033999174342,0.8982239555378493,0.9287182108608664,0.3033429656798339,2.0897425585407388,0.03389684977994931,0.265573711705307,0.24630703473721152,0.8720444974783743
70,0.705,0.3152491488701625,0.29280220672514684,0.8943690802341044,0.9287961847780895,0.3033569175934574,2.1058131696881515,0.034157524516992624,0.265573711705307,0.24630703473721152,0.8720444974783743
71,0.715,0.3067452297859081,0.2849207994873826,0.8907665203998726,0.9288516065473689,0.30337677969142585,2.121073323761207,0.03440505316501636,0.265573711705307,0.24630703473721152,0.8720444974783743
72,0.725,0.2989759112592673,0.27771573222692264,0.8874768170785782,0.9288899933683682,0.3033972538981198,2.1351386896907387,0.0346332016486967,0.265573711705307,0.24630703473721152,0.8720444974783743
73,0.735,0.2920590954775652,0.2712960987005025,0.8845380436032662,0.9289082343314398,0.3034133814363281,2.1476903638081986,0.03483679716351625,0.265573711705307,0.24630703473721152,0.8720444974783743
74,0.745,0.2860590520791489,0.26571775561207783,0.8819566185506964,0.9288912680118828,0.30341806683152367,2.1584843553207143,0.03501188203573194,0.265573711705307,0.24630703473721152,0.8720444974783743
75,0.755,0.2809848679999057,0.2609791686779865,0.879693076821652,0.928801506414481,0.30339766172647825,2.1673294849466487,0.03515535522528302,0.265573711705307,0.24630703473721152,0.8720444974783743
76,0.765,0.2767900997113771,0.2570142141239596,0.8776323896948237,0.9285527711864016,0.3033227037261099,2.174009774863181,0.035263713445228224,0.265573711705307,0.24630703473721152,0.8720444974783743
