x,z,t
184.738000000,178.379290000,26.960000000
185.888000000,178.608960000,27.040000000
187.042000000,178.822670000,27.120000000
188.200000000,179.020000000,27.200000000
189.362000000,179.200530000,27.280000000
190.528000000,179.363840000,27.360000000
191.698000000,179.509510000,27.440000000
192.872000000,179.637120000,27.520000000
194.050000000,179.746250000,27.600000000
195.232000000,179.836480000,27.680000000
196.418000000,179.907390000,27.760000000
197.608000000,179.958560000,27.840000000
198.802000000,179.989570000,27.920000000
200.000000000,180.000000000,28.000000000
200.000000000,180.000000000,28.000000000
201.198000000,179.995530000,28.080000000
202.392000000,179.982240000,28.160000000
203.582000000,179.960310000,28.240000000
204.768000000,179.929920000,28.320000000
205.950000000,179.891250000,28.400000000
207.128000000,179.844480000,28.480000000
208.302000000,179.789790000,28.560000000
209.472000000,179.727360000,28.640000000
210.638000000,179.657370000,28.720000000
211.800000000,179.580000000,28.800000000
212.958000000,179.495430000,28.880000000
214.112000000,179.403840000,28.960000000
215.262000000,179.305410000,29.040000000
216.408000000,179.200320000,29.120000000
217.550000000,179.088750000,29.200000000
218.688000000,178.970880000,29.280000000
219.822000000,178.846890000,29.360000000
220.952000000,178.716960000,29.440000000
222.078000000,178.581270000,29.520000000
223.200000000,178.440000000,29.600000000
224.318000000,178.293330000,29.680000000
225.432000000,178.141440000,29.760000000
226.542000000,177.984510000,29.840000000
227.648000000,177.822720000,29.920000000
228.750000000,177.656250000,30.000000000
229.848000000,177.485280000,30.080000000
230.942000000,177.309990000,30.160000000
232.032000000,177.130560000,30.240000000
233.118000000,176.947170000,30.320000000
234.200000000,176.760000000,30.400000000
235.278000000,176.569230000,30.480000000
236.352000000,176.375040000,30.560000000
237.422000000,176.177610000,30.640000000
238.488000000,175.977120000,30.720000000
239.550000000,175.773750000,30.800000000
240.608000000,175.567680000,30.880000000
241.662000000,175.359090000,30.960000000
242.712000000,175.148160000,31.040000000
243.758000000,174.935070000,31.120000000
244.800000000,174.720000000,31.200000000
245.838000000,174.503130000,31.280000000
246.872000000,174.284640000,31.360000000
247.902000000,174.064710000,31.440000000
248.928000000,173.843520000,31.520000000
249.950000000,173.621250000,31.600000000
250.968000000,173.398080000,31.680000000
251.982000000,173.174190000,31.760000000
252.992000000,172.949760000,31.840000000
253.998000000,172.724970000,31.920000000
255.000000000,172.500000000,32.000000000
255.998000000,172.275030000,32.080000000
256.992000000,172.050240000,32.160000000
257.982000000,171.825810000,32.240000000
258.968000000,171.601920000,32.320000000
259.950000000,171.378750000,32.400000000
260.928000000,171.156480000,32.480000000
261.902000000,170.935290000,32.560000000
262.872000000,170.715360000,32.640000000
263.838000000,170.496870000,32.720000000
264.800000000,170.280000000,32.800000000
265.758000000,170.064930000,32.880000000
266.712000000,169.851840000,32.960000000
267.662000000,169.640910000,33.040000000
268.608000000,169.432320000,33.120000000
269.550000000,169.226250000,33.200000000
270.488000000,169.022880000,33.280000000
271.422000000,168.822390000,33.360000000
272.352000000,168.624960000,33.440000000
273.278000000,168.430770000,33.520000000
274.200000000,168.240000000,33.600000000
275.118000000,168.052830000,33.680000000
276.032000000,167.869440000,33.760000000
276.942000000,167.690010000,33.840000000
277.848000000,167.514720000,33.920000000
278.750000000,167.343750000,34.000000000
279.648000000,167.177280000,34.080000000
280.542000000,167.015490000,34.160000000
281.432000000,166.858560000,34.240000000
282.318000000,166.706670000,34.320000000
283.200000000,166.560000000,34.400000000
284.078000000,166.418730000,34.480000000
284.952000000,166.283040000,34.560000000
285.822000000,166.153110000,34.640000000
286.688000000,166.029120000,34.720000000
287.550000000,165.911250000,34.800000000
288.408000000,165.799680000,34.880000000
289.262000000,165.694590000,34.960000000
290.112000000,165.596160000,35.040000000
290.958000000,165.504570000,35.120000000
291.800000000,165.420000000,35.200000000
292.638000000,165.342630000,35.280000000
293.472000000,165.272640000,35.360000000
294.302000000,165.210210000,35.440000000
295.128000000,165.155520000,35.520000000
295.950000000,165.108750000,35.600000000
296.768000000,165.070080000,35.680000000
297.582000000,165.039690000,35.760000000
298.392000000,165.017760000,35.840000000
299.198000000,165.004470000,35.920000000
300.000000000,165.000000000,36.000000000
300.000000000,165.000000000,36.000000000
301.990000000,164.950830000,36.200000000
303.960000000,164.804640000,36.400000000
305.910000000,164.563410000,36.600000000
307.840000000,164.229120000,36.800000000
309.750000000,163.803750000,37.000000000
311.640000000,163.289280000,37.200000000
313.510000000,162.687690000,37.400000000
315.360000000,162.000960000,37.600000000
317.190000000,161.231070000,37.800000000
319.000000000,160.380000000,38.000000000
320.790000000,159.449730000,38.200000000
322.560000000,158.442240000,38.400000000
324.310000000,157.359510000,38.600000000
326.040000000,156.203520000,38.800000000
327.750000000,154.976250000,39.000000000
329.440000000,153.679680000,39.200000000
331.110000000,152.315790000,39.400000000
332.760000000,150.886560000,39.600000000
334.390000000,149.393970000,39.800000000
336.000000000,147.840000000,40.000000000
337.590000000,146.226630000,40.200000000
339.160000000,144.555840000,40.400000000
340.710000000,142.829610000,40.600000000
342.240000000,141.049920000,40.800000000
343.750000000,139.218750000,41.000000000
345.240000000,137.338080000,41.200000000
346.710000000,135.409890000,41.400000000
348.160000000,133.436160000,41.600000000
349.590000000,131.418870000,41.800000000
351.000000000,129.360000000,42.000000000
352.390000000,127.261530000,42.200000000
353.760000000,125.125440000,42.400000000
355.110000000,122.953710000,42.600000000
356.440000000,120.748320000,42.800000000
357.750000000,118.511250000,43.000000000
359.040000000,116.244480000,43.200000000
360.310000000,113.949990000,43.400000000
361.560000000,111.629760000,43.600000000
362.790000000,109.285770000,43.800000000
364.000000000,106.920000000,44.000000000
365.190000000,104.534430000,44.200000000
366.360000000,102.131040000,44.400000000
367.510000000,99.711810000,44.600000000
368.640000000,97.278720000,44.800000000
