x,z,t
372.000000000,234.043520000,37.314285714
373.000000000,234.103330000,37.364285714
374.000000000,234.161760000,37.414285714
375.000000000,234.218750000,37.464285714
376.000000000,234.274240000,37.514285714
377.000000000,234.328170000,37.564285714
378.000000000,234.380480000,37.614285714
379.000000000,234.431110000,37.664285714
380.000000000,234.480000000,37.714285714
381.000000000,234.527090000,37.764285714
382.000000000,234.572320000,37.814285714
383.000000000,234.615630000,37.864285714
384.000000000,234.656960000,37.914285714
385.000000000,234.696250000,37.964285714
386.000000000,234.733440000,38.014285714
387.000000000,234.768470000,38.064285714
388.000000000,234.801280000,38.114285714
389.000000000,234.831810000,38.164285714
390.000000000,234.860000000,38.214285714
391.000000000,234.885790000,38.264285714
392.000000000,234.909120000,38.314285714
393.000000000,234.929930000,38.364285714
394.000000000,234.948160000,38.414285714
395.000000000,234.963750000,38.464285714
396.000000000,234.976640000,38.514285714
397.000000000,234.986770000,38.564285714
398.000000000,234.994080000,38.614285714
399.000000000,234.998510000,38.664285714
400.000000000,235.000000000,38.714285714
400.000000000,235.000000000,38.714285714
401.000000000,235.004470000,38.764285714
402.000000000,235.017760000,38.814285714
403.000000000,235.039690000,38.864285714
404.000000000,235.070080000,38.914285714
405.000000000,235.108750000,38.964285714
406.000000000,235.155520000,39.014285714
407.000000000,235.210210000,39.064285714
408.000000000,235.272640000,39.114285714
409.000000000,235.342630000,39.164285714
410.000000000,235.420000000,39.214285714
411.000000000,235.504570000,39.264285714
412.000000000,235.596160000,39.314285714
413.000000000,235.694590000,39.364285714
414.000000000,235.799680000,39.414285714
415.000000000,235.911250000,39.464285714
416.000000000,236.029120000,39.514285714
417.000000000,236.153110000,39.564285714
418.000000000,236.283040000,39.614285714
419.000000000,236.418730000,39.664285714
420.000000000,236.560000000,39.714285714
421.000000000,236.706670000,39.764285714
422.000000000,236.858560000,39.814285714
423.000000000,237.015490000,39.864285714
424.000000000,237.177280000,39.914285714
425.000000000,237.343750000,39.964285714
426.000000000,237.514720000,40.014285714
427.000000000,237.690010000,40.064285714
428.000000000,237.869440000,40.114285714
429.000000000,238.052830000,40.164285714
430.000000000,238.240000000,40.214285714
431.000000000,238.430770000,40.264285714
432.000000000,238.624960000,40.314285714
433.000000000,238.822390000,40.364285714
434.000000000,239.022880000,40.414285714
435.000000000,239.226250000,40.464285714
