scenario,step,time_before,dt,ratio,alpha,retries,max_cfl,min_density,min_pressure,max_component_velocity,min_energy_density_ratio,boundary_x_mass,boundary_x_momentum_x,boundary_x_momentum_y,boundary_x_energy,boundary_y_mass,boundary_y_momentum_x,boundary_y_momentum_y,boundary_y_energy
four-quadrants,79,0.09718957028494474,0.0012006023799426247,0.23051565694898396,1.735240049609841,0,0.4,0.25,0.25,0.4350095117898705,2.1690677072782436,0,100.7483168657759,0,0,0,0,43.07568845223407,0
four-quadrants,80,0.09839017266488737,0.001200502560852621,0.23049649168370326,1.7353843309203008,0,0.4,0.25,0.25,0.43500657180275437,2.1685873888882536,0,100.74764217194947,0,0,0,0,43.07408324842696,0
four-quadrants,81,0.09959067522573999,0.0012003254173345388,0.23046248012823145,1.7356404382068453,0,0.4,0.25,0.25,0.43500375965009913,2.168131174774481,0,100.74696730194258,0,0,0,0,43.0724777234235,0
four-quadrants,82,0.10079100064307453,0.001200007390091537,0.23040141889757512,1.7361004194935963,0,0.39999999999999997,0.25,0.25,0.43500107222021933,2.167697646348873,0,100.7462923044065,0,0,0,0,43.070872079700194,0
four-quadrants,83,0.10199100803316606,0.0011998628236049073,0.2303736621321422,1.736309595020286,0,0.4,0.25,0.25,0.4349985054645676,2.1672853626620636,0,100.74561726435006,0,0,0,0,43.06926609098549,0
four-quadrants,84,0.10319087085677096,0.0011998208866339183,0.23036561023371233,1.736370283716345,0,0.4,0.25,0.25,0.4349960554000283,2.1668930081432967,0,100.7449420864077,0,0,0,0,43.067659627084836,0
four-quadrants,85,0.10439069174340489,0.001199475098097783,0.23029921883477433,1.7368708501220564,0,0.4,0.25,0.25,0.4350805901104113,2.1665194843066167,0,100.74426671564956,0,0,0,0,43.066053111871206,0
four-quadrants,86,0.10559016684150267,0.001199287101193839,0.2302631234292171,1.7371431171564042,0,0.4,0.25,0.25,0.4351325085869063,2.166163615071859,0,100.74359133023903,0,0,0,0,43.06444633947192,0
four-quadrants,87,0.10678945394269651,0.0011992417793230264,0.23025442163002108,1.7372087674508618,0,0.39999999999999997,0.25,0.25,0.43524340473874606,2.165824311555947,0,100.74291584340489,0,0,0,0,43.062839124182894,0
four-quadrants,88,0.10798869572201954,0.0011989959118639689,0.23020721507788203,1.7375650014473913,0,0.4,0.25,0.25,0.4353460015513098,2.165464143673975,0,100.74224017687632,0,0,0,0,43.06123174833641,0
four-quadrants,89,0.1091876916338835,0.001198765132516479,0.23016290544316398,1.7378995074372456,0,0.4,0.25,0.25,0.43544014961823985,2.1651073412766584,0,100.74156444928167,0,0,0,0,43.059624199889775,0
four-quadrants,90,0.11038645676639998,0.0011986833838207379,0.23014720969358168,1.7380180299928927,0,0.4,0.25,0.25,0.43552635229986536,2.1647238321944013,0,100.74088865540628,0,0,0,0,43.0580162836628,0
four-quadrants,91,0.11158514015022071,0.0011985625701676562,0.23012401347219,1.7381932201019046,0,0.4,0.25,0.25,0.43567495888584135,2.1643512368628754,0,100.74021271300226,0,0,0,0,43.05640806095109,0
four-quadrants,92,0.11278370272038836,0.0011982891864939077,0.2300715238068303,1.7385897801756767,0,0.4,0.25,0.25,0.4357307509265917,2.163996081232492,0,100.73953664772304,0,0,0,0,43.05479974791808,0
four-quadrants,93,0.11398199190688227,0.0011981710875512803,0.23004884880984583,1.738761146032218,0,0.4,0.25,0.25,0.4358344791575815,2.1636573336784584,0,100.73886055036623,0,0,0,0,43.053191140118635,0
