scenario,i,j,x,y,density,momentum_x,momentum_y,energy,velocity_x,velocity_y,pressure
four-quadrants,75,0,0.3932291666666667,0.0026041666666666665,0.390391590695688,-0.16976674693458188,-1.1534507102803058e-16,1.0618302074415367,-0.4348627147220387,-2.954599273577657e-16,0.4099670372883144
four-quadrants,76,0,0.3984375,0.0026041666666666665,0.3959250808720407,-0.17217554583845654,-9.214317322484333e-17,1.0623528091320273,-0.4348690046592478,-2.327288107686796e-16,0.40996636200372455
four-quadrants,77,0,0.4036458333333333,0.0026041666666666665,0.4017622182345517,-0.17471653538088125,-6.870908878048852e-17,1.062904011681883,-0.4348754747239086,-1.710192886787967e-16,0.40996561741957777
four-quadrants,78,0,0.4088541666666667,0.0026041666666666665,0.4078219248349183,-0.1773544643188839,-4.709781723785826e-17,1.0634761267912272,-0.4348821226094575,-1.1548623153824533e-16,0.40996479353703896
four-quadrants,79,0,0.4140625,0.0026041666666666665,0.4140118015118621,-0.1800491565755816,-3.033617055583379e-17,1.0640603961939397,-0.4348889474118599,-7.327368554484215e-17,0.4099638808404663
four-quadrants,80,0,0.4192708333333333,0.0026041666666666665,0.4202321081721421,-0.18275724160188925,-1.3709163955186716e-17,1.0646473680040929,-0.4348959492810229,-3.2622837923586155e-17,0.4099628703867502
four-quadrants,81,0,0.4244791666666667,0.0026041666666666665,0.4263804770281026,-0.18543420357792825,-1.1224868336695163e-18,1.0652273426291436,-0.43490312893877253,-2.6325943474084847e-18,0.40996175398199547
four-quadrants,82,0,0.4296875,0.0026041666666666665,0.43235700708763314,-0.18803659648630228,-5.261050482409564e-19,1.0657908551263515,-0.43491048694439155,-1.216830164925075e-18,0.4099605245022959
four-quadrants,83,0,0.4348958333333333,0.0026041666666666665,0.43806931424960194,-0.19052423986730027,0,1.0663291539848687,-0.43491802249071454,0,0.4099591764660209
four-quadrants,84,0,0.4401041666666667,0.0026041666666666665,0.4434370873577193,-0.19286219952399541,0,1.066834634223772,-0.4349257313437432,0,0.40995770705420154
four-quadrants,85,0,0.4453125,0.0026041666666666665,0.4483957369920967,-0.1950223731253365,0,1.0673011864458612,-0.4349336022540595,0,0.40995611792563696
four-quadrants,86,0,0.4505208333333333,0.0026041666666666665,0.45289881985394687,-0.19698454219562145,0,1.0677244330722258,-0.43494161070931037,0,0.40995441841541036
