i,j,x,y,density,momentum_x,momentum_y,energy,velocity_x,velocity_y,pressure
95,0,0.4973958333333333,0.0026041666666666665,0.5324665439597573,-0.00003675509543292313,0.6421546520154574,1.137117843907522,-0.0000690279903026189,1.2059999999999813,0.2999594349894568
96,0,0.5026041666666666,0.0026041666666666665,0.5324701254520566,-0.00003991780166290054,0.6421589712951691,1.13712747271082,-0.000074967213661069,1.2059999999999789,0.2999622446094307
97,0,0.5078125,0.0026041666666666665,0.5324706462058515,-0.000040364649901298476,0.6421595993242445,1.1371288464343547,-0.0000758063382252505,1.2059999999999766,0.29996264260475786
98,0,0.5130208333333334,0.0026041666666666665,0.5324707253645993,-0.00004042471545706151,0.6421596947896935,1.1371290402824776,-0.00007591913232296753,1.205999999999975,0.29996269711591833
99,0,0.5182291666666666,0.0026041666666666665,0.5324707313379103,-0.00004042930777956761,0.6421597019935061,1.137129057866102,-0.00007592775602516796,1.2059999999999742,0.2999627024116691
100,0,0.5234375,0.0026041666666666665,0.5324707104087804,-0.0000404256202609757,0.6421596767529755,1.137129037687612,-0.00007592083371109887,1.2059999999999744,0.29996270042840106
101,0,0.5286458333333334,0.0026041666666666665,0.5324706602844212,-0.00004042045452894166,0.6421596163029989,1.1371289931572002,-0.00007591113941818113,1.2059999999999753,0.2999626971969273
102,0,0.5338541666666666,0.0026041666666666665,0.5324705680095434,-0.00004041485659743179,0.6421595050194973,1.1371289171646757,-0.00007590063944474663,1.2059999999999773,0.2999626936416678
103,0,0.5390625,0.0026041666666666665,0.532470414026612,-0.00004040904366821578,0.6421593193160827,1.1371287959818293,-0.00007588974448859462,1.2059999999999786,0.2999626899603689
104,0,0.5442708333333334,0.0026041666666666665,0.5324701710250815,-0.00004040311047492538,0.6421590262562377,1.1371286099717621,-0.00007587863635092194,1.20599999999998,0.29996268624255634
105,0,0.5494791666666666,0.0026041666666666665,0.5324698015792396,-0.0000403971301385409,0.6421585807045539,1.1371283320904457,-0.00007586745768253525,1.2059999999999829,0.2999626825572766
106,0,0.5546875,0.0026041666666666665,0.532469255046676,-0.00004039116702287169,0.642157921586283,1.1371279256647244,-0.00007585633656788507,1.2059999999999846,0.29996267896649503
107,0,0.5598958333333334,0.0026041666666666665,0.5324684636938994,-0.0000403852777212203,0.6421569672148357,1.1371273415792171,-0.00007584538892886737,1.2059999999999869,0.29996267552686273
108,0,0.5651041666666666,0.0026041666666666665,0.5324673379472992,-0.00004037951057072964,0.6421556095644371,1.1371265148216283,-0.00007583471828787776,1.2059999999999893,0.2999626722892767
109,0,0.5703125,0.0026041666666666665,0.5324657606652231,-0.00004037390464613662,0.6421537073622543,1.1371253603155922,-0.00007582441469231086,1.205999999999991,0.29996266929819676
110,0,0.5755208333333334,0.0026041666666666665,0.532463580342439,-0.00004036848850728551,0.6421510778929775,1.1371237679773303,-0.00007581455332836783,1.2059999999999926,0.2999626665910431
111,0,0.5807291666666666,0.0026041666666666665,0.5324606031888315,-0.000040363278970329164,0.6421474874457277,1.137121596953852,-0.00007580519333937417,1.2059999999999942,0.2999626641976828
112,0,0.5859375,0.0026041666666666665,0.5324565840715362,-0.00004035828002507301,0.6421426403902702,1.1371186690350128,-0.00007579637708010918,1.2059999999999955,0.2999626621400703
