step,time_before,dt,ratio,alpha,retries,max_cfl,min_density,min_pressure,max_component_velocity,min_energy_density_ratio,boundary_x_mass,boundary_x_momentum_x,boundary_x_momentum_y,boundary_x_energy,boundary_y_mass,boundary_y_momentum_x,boundary_y_momentum_y,boundary_y_energy
70,0.06802603412976313,0.000985322128497235,0.18918184867146914,2.114367751499432,0,0.4,0.138,0.02899999999999997,1.2060000000000006,1.7823228067382388,-52.83586806500994,33.07056084788007,-29.72224570269573,-130.1460018847564,-52.87383916412112,-29.70620930120759,33.15392814155822,-130.25529861744786
71,0.06901135625826037,0.000985382665816685,0.18919347183680352,2.114237854596993,0,0.4000000000000001,0.138,0.02899999999999997,1.2060000000000008,1.7741408132074634,-52.87383917052517,33.153928133970375,-29.706209301190157,-130.25529863992148,-52.91181260263116,-29.69017191443974,33.237293353512825,-130.36460016396524
72,0.06999673892407705,0.000985442511617134,0.18920496223048974,2.1141094571965793,0,0.39999999999999997,0.138,0.02899999999999997,1.2060000000000008,1.7715281535746041,-52.91181261313065,33.237293341072636,-29.69017191441129,-130.36460020081034,-52.949788351636776,-29.674133553653352,33.32065669748404,-130.473906509072
73,0.0709821814356942,0.0009855016178917115,0.1892163106352086,2.1139826617334414,0,0.39999999999999997,0.138,0.028999999999999984,1.2060000000000008,1.7725308845505316,-52.94978836858286,33.3206566774057,-29.674133553607643,-130.47390656853952,-52.98776638507597,-29.658094230878223,33.40401836655079,-130.58321764566918
74,0.0719676830535859,0.0009855599488241245,0.18922751017423192,2.113857544453756,0,0.4000000000000001,0.138,0.028999999999999984,1.2060000000000008,1.7804721195007718,-52.98776641201919,33.40401833462741,-29.658094230805837,-130.5832177402195,-53.025746676753506,-29.642053958723963,33.487378538159525,-130.69253356422115
75,0.07295324300241003,0.0009856174787042878,0.18923855591122327,2.1137341599015924,0,0.4,0.138,0.028999999999999984,1.2060000000000008,1.7788265973364208,-53.02574671897992,33.487378488128435,-29.642053958611008,-130.69253371240285,-53.06372920129005,-29.626012750214226,33.570737375014446,-130.80185425597972
76,0.07393886048111432,0.0009856741901762892,0.18924944451384754,2.1136125446895653,0,0.39999999999999997,0.138,0.028999999999999984,1.2060000000000006,1.7730654004585702,-53.06372926656073,33.570737297679784,-29.6260127500411,-130.80185448502866,-53.1017139352175,-29.60997061864955,33.654095025636124,-130.91117971675757
77,0.07492453467129061,0.0009857300727651953,0.18926017397091752,2.113492720668563,0,0.4,0.138,0.028999999999999984,1.2060000000000006,1.7727603036738373,-53.101714034779256,33.65409490767293,-29.609970618387518,-130.91118006614042,-53.13970085830251,-29.593927577491957,33.73745162371,-131.02050995206372
78,0.07591026474405581,0.0009857851216385426,0.1892707433546002,2.1133746975917824,0,0.4000000000000001,0.138,0.028999999999999984,1.2060000000000006,1.777984115296911,-53.13970100824639,33.73745144605359,-29.59392757710118,-131.02051047824565,-53.17768995518903,-29.577883640271246,33.82080728826577,-131.12984498173134
79,0.07689604986569436,0.0009858393421741105,0.18928115369742923,2.1132584633302174,0,0.4,0.138,0.028999999999999984,1.2060000000000006,1.7853357740693454,-53.17769017825613,33.82080702397299,-29.577883639696303,-131.1298457645129,-53.21568121768938,-29.56183882041449,33.90416212227155,-131.23918484840215
